name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,bench_explain
Kasper Schmeichel,2021-08-14,Sat,1,Home,W 1–0,Leicester City,Wolves,Y*,GK,90.0,33.0,39.0,84.6,922.0,507.0,1.0,1.0,100.0,21.0,21.0,100.0,11.0,17.0,64.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kasper Schmeichel,2021-08-23,Mon,2,Away,L 1–4,Leicester City,West Ham,Y*,GK,90.0,29.0,36.0,80.6,800.0,392.0,3.0,3.0,100.0,17.0,18.0,94.4,9.0,15.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kasper Schmeichel,2021-08-28,Sat,3,Away,W 2–1,Leicester City,Norwich City,Y*,GK,90.0,24.0,36.0,66.7,719.0,353.0,3.0,3.0,100.0,12.0,12.0,100.0,9.0,21.0,42.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
Kasper Schmeichel,2021-09-11,Sat,4,Home,L 0–1,Leicester City,Manchester City,Y*,GK,90.0,38.0,52.0,73.1,1051.0,607.0,5.0,5.0,100.0,20.0,21.0,95.2,13.0,26.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kasper Schmeichel,2021-09-19,Sun,5,Away,L 1–2,Leicester City,Brighton,Y*,GK,90.0,16.0,22.0,72.7,358.0,194.0,5.0,5.0,100.0,7.0,7.0,100.0,4.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kasper Schmeichel,2021-09-25,Sat,6,Home,D 2–2,Leicester City,Burnley,Y*,GK,90.0,26.0,36.0,72.2,764.0,469.0,3.0,3.0,100.0,11.0,11.0,100.0,12.0,22.0,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kasper Schmeichel,2021-10-03,Sun,7,Away,D 2–2,Leicester City,Crystal Palace,Y*,GK,90.0,19.0,40.0,47.5,815.0,537.0,1.0,1.0,100.0,6.0,6.0,100.0,11.0,32.0,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kasper Schmeichel,2021-10-16,Sat,8,Home,W 4–2,Leicester City,Manchester Utd,Y*,GK,90.0,36.0,49.0,73.5,1073.0,473.0,6.0,6.0,100.0,17.0,17.0,100.0,13.0,26.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kasper Schmeichel,2021-10-24,Sun,9,Away,W 2–1,Leicester City,Brentford,Y*,GK,90.0,23.0,43.0,53.5,791.0,403.0,1.0,1.0,100.0,10.0,10.0,100.0,12.0,32.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kasper Schmeichel,2021-10-30,Sat,10,Home,L 0–2,Leicester City,Arsenal,Y*,GK,90.0,36.0,42.0,85.7,983.0,408.0,4.0,4.0,100.0,17.0,17.0,100.0,15.0,21.0,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kasper Schmeichel,2021-11-07,Sun,11,Away,D 1–1,Leicester City,Leeds United,Y*,GK,90.0,32.0,44.0,72.7,922.0,602.0,8.0,8.0,100.0,16.0,16.0,100.0,8.0,20.0,40.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,
Kasper Schmeichel,2021-11-20,Sat,12,Home,L 0–3,Leicester City,Chelsea,Y*,GK,90.0,27.0,40.0,67.5,964.0,546.0,0.0,0.0,,11.0,11.0,100.0,16.0,29.0,55.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kasper Schmeichel,2021-11-28,Sun,13,Home,W 4–2,Leicester City,Watford,Y*,GK,90.0,22.0,41.0,53.7,690.0,362.0,1.0,1.0,100.0,10.0,10.0,100.0,10.0,29.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kasper Schmeichel,2021-12-01,Wed,14,Away,D 2–2,Leicester City,Southampton,Y*,GK,90.0,36.0,49.0,73.5,1247.0,695.0,1.0,1.0,100.0,19.0,19.0,100.0,16.0,29.0,55.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
Çağlar Söyüncü,2021-08-14,Sat,1,Home,W 1–0,Leicester City,Wolves,Y,CB,90.0,80.0,88.0,90.9,1637.0,549.0,15.0,15.0,100.0,57.0,61.0,93.4,8.0,11.0,72.7,0.0,0.0,0.0,2.0,0.0,0.0,0.0,
Çağlar Söyüncü,2021-08-23,Mon,2,Away,L 1–4,Leicester City,West Ham,Y,CB,90.0,85.0,99.0,85.9,1924.0,447.0,14.0,14.0,100.0,55.0,60.0,91.7,15.0,22.0,68.2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,
Çağlar Söyüncü,2021-08-28,Sat,3,Away,W 2–1,Leicester City,Norwich City,Y,CB,90.0,48.0,58.0,82.8,913.0,309.0,19.0,20.0,95.0,23.0,24.0,95.8,5.0,12.0,41.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
Çağlar Söyüncü,2021-09-11,Sat,4,Home,L 0–1,Leicester City,Manchester City,Y,CB,90.0,53.0,62.0,85.5,1142.0,320.0,14.0,14.0,100.0,30.0,31.0,96.8,8.0,14.0,57.1,0.0,0.0,0.0,2.0,0.0,0.0,3.0,
Çağlar Söyüncü,2021-09-19,Sun,5,Away,L 1–2,Leicester City,Brighton,Y,CB,90.0,60.0,67.0,89.6,1262.0,335.0,17.0,18.0,94.4,37.0,38.0,97.4,5.0,9.0,55.6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,
Çağlar Söyüncü,2021-09-25,Sat,6,Home,D 2–2,Leicester City,Burnley,Y,CB,90.0,58.0,64.0,90.6,962.0,358.0,27.0,28.0,96.4,30.0,31.0,96.8,1.0,5.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,
Çağlar Söyüncü,2021-10-03,Sun,7,Away,D 2–2,Leicester City,Crystal Palace,Y,CB,90.0,34.0,42.0,81.0,698.0,167.0,13.0,13.0,100.0,16.0,17.0,94.1,5.0,12.0,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Çağlar Söyüncü,2021-10-16,Sat,8,Home,W 4–2,Leicester City,Manchester Utd,Y,CB,90.0,45.0,49.0,91.8,851.0,284.0,14.0,15.0,93.3,27.0,28.0,96.4,4.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
Çağlar Söyüncü,2021-10-24,Sun,9,Away,W 2–1,Leicester City,Brentford,Y,CB,67.0,24.0,30.0,80.0,429.0,126.0,10.0,11.0,90.9,12.0,12.0,100.0,2.0,7.0,28.6,0.0,0.0,0.0,3.0,0.0,0.0,1.0,
Çağlar Söyüncü,2021-10-30,Sat,10,Home,L 0–2,Leicester City,Arsenal,Y,CB,90.0,82.0,90.0,91.1,1537.0,382.0,26.0,29.0,89.7,47.0,50.0,94.0,9.0,10.0,90.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,
Çağlar Söyüncü,2021-11-07,Sun,11,Away,D 1–1,Leicester City,Leeds United,Y,CB,90.0,17.0,23.0,73.9,317.0,130.0,6.0,6.0,100.0,7.0,9.0,77.8,3.0,7.0,42.9,0.0,0.0,0.0,2.0,0.0,0.0,2.0,
Çağlar Söyüncü,2021-11-20,Sat,12,Home,L 0–3,Leicester City,Chelsea,Y,CB,90.0,31.0,40.0,77.5,520.0,250.0,16.0,18.0,88.9,14.0,15.0,93.3,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
Çağlar Söyüncü,2021-11-28,Sun,13,Home,W 4–2,Leicester City,Watford,Y,CB,90.0,32.0,47.0,68.1,834.0,355.0,9.0,12.0,75.0,16.0,21.0,76.2,7.0,14.0,50.0,0.0,0.1,1.0,3.0,0.0,0.0,0.0,
Çağlar Söyüncü,2021-12-01,Wed,14,Away,D 2–2,Leicester City,Southampton,Y,CB,90.0,56.0,65.0,86.2,1123.0,453.0,17.0,21.0,81.0,31.0,32.0,96.9,7.0,11.0,63.6,0.0,0.0,0.0,2.0,0.0,0.0,3.0,
